slug	tier	provenance-verified	public-record	override	verified/total-refs	catalog-kind	name
archive-gb-0647	composite	no	no	-	2/5	composite	Archival prosecution: CS-0647
archive-ca-0648	composite	no	no	-	1/4	composite	Archival prosecution: CS-0648
archive-ca-0649	composite	no	no	-	1/4	composite	Archival prosecution: CS-0649
archive-au-0650	composite	no	no	-	1/4	composite	Unsolved matter: CS-0650
archive-au-0651	composite	no	no	-	1/5	composite	Archival prosecution: CS-0651
archive-de-0652	composite	no	no	-	2/6	composite	Archival prosecution: CS-0652
archive-de-0653	composite	no	no	-	2/6	composite	Archival prosecution: CS-0653
archive-fr-0654	composite	no	no	-	3/7	composite	Archival prosecution: CS-0654
archive-fr-0655	composite	no	no	-	1/4	composite	Archival prosecution: CS-0655
archive-it-0656	composite	no	no	-	2/5	composite	Archival prosecution: CS-0656
archive-it-0657	composite	no	no	-	1/4	composite	Archival prosecution: CS-0657
archive-es-0658	composite	no	no	-	1/4	composite	Archival prosecution: CS-0658
archive-es-0659	composite	no	no	-	1/4	composite	Archival prosecution: CS-0659
archive-nl-0660	composite	no	no	-	1/4	composite	Unsolved matter: CS-0660
archive-be-0661	composite	no	no	-	2/6	composite	Archival prosecution: CS-0661
archive-se-0662	composite	no	no	-	2/7	composite	Archival prosecution: CS-0662
archive-no-0663	composite	no	no	-	3/7	composite	Archival prosecution: CS-0663
archive-pl-0664	composite	no	no	-	1/4	composite	Archival prosecution: CS-0664
archive-pl-0665	composite	no	no	-	2/5	composite	Archival prosecution: CS-0665
archive-ru-0666	composite	no	no	-	1/4	composite	Archival prosecution: CS-0666
archive-ru-0667	composite	no	no	-	1/4	composite	Archival prosecution: CS-0667
archive-ua-0668	composite	no	no	-	1/4	composite	Archival prosecution: CS-0668
archive-ua-0669	composite	no	no	-	1/4	composite	Archival prosecution: CS-0669
archive-jp-0670	composite	no	no	-	2/5	composite	Unsolved matter: CS-0670
archive-jp-0671	composite	no	no	-	2/7	composite	Archival prosecution: CS-0671
archive-cn-0672	composite	no	no	-	3/8	composite	Archival prosecution: CS-0672
archive-cn-0673	composite	no	no	-	1/4	composite	Archival prosecution: CS-0673
archive-in-0674	composite	no	no	-	2/5	composite	Archival prosecution: CS-0674
archive-in-0675	composite	no	no	-	1/4	composite	Archival prosecution: CS-0675
archive-br-0676	composite	no	no	-	1/4	composite	Archival prosecution: CS-0676
archive-br-0677	composite	no	no	-	1/4	composite	Archival prosecution: CS-0677
archive-mx-0678	composite	no	no	-	1/4	composite	Archival prosecution: CS-0678
archive-mx-0679	composite	no	no	-	2/5	composite	Archival prosecution: CS-0679
archive-ar-0680	composite	no	no	-	2/6	composite	Unsolved matter: CS-0680
archive-za-0681	composite	no	no	-	3/8	composite	Archival prosecution: CS-0681
archive-ng-0682	composite	no	no	-	1/5	composite	Archival prosecution: CS-0682
archive-ke-0683	composite	no	no	-	2/5	composite	Archival prosecution: CS-0683
archive-tr-0684	composite	no	no	-	1/4	composite	Archival prosecution: CS-0684
archive-gr-0685	composite	no	no	-	1/4	composite	Archival prosecution: CS-0685
archive-ro-0686	composite	no	no	-	1/4	composite	Archival prosecution: CS-0686
archive-cz-0687	composite	no	no	-	1/4	composite	Archival prosecution: CS-0687
archive-hu-0688	composite	no	no	-	2/5	composite	Archival prosecution: CS-0688
archive-at-0689	composite	no	no	-	2/6	composite	Archival prosecution: CS-0689
archive-ch-0690	composite	no	no	-	3/7	composite	Unsolved matter: CS-0690
archive-pt-0691	composite	no	no	-	1/5	composite	Archival prosecution: CS-0691
archive-ie-0692	composite	no	no	-	2/6	composite	Archival prosecution: CS-0692
archive-fi-0693	composite	no	no	-	1/4	composite	Archival prosecution: CS-0693
archive-dk-0694	composite	no	no	-	1/4	composite	Archival prosecution: CS-0694
archive-nz-0695	composite	no	no	-	1/4	composite	Archival prosecution: CS-0695
archive-kr-0696	composite	no	no	-	1/4	composite	Archival prosecution: CS-0696
archive-th-0697	composite	no	no	-	2/5	composite	Archival prosecution: CS-0697
archive-vn-0698	composite	no	no	-	2/6	composite	Archival prosecution: CS-0698
archive-ph-0699	composite	no	no	-	3/7	composite	Archival prosecution: CS-0699
archive-id-0700	composite	no	no	-	1/4	composite	Unsolved matter: CS-0700
archive-my-0701	composite	no	no	-	2/6	composite	Archival prosecution: CS-0701
archive-sg-0702	composite	no	no	-	1/5	composite	Archival prosecution: CS-0702
archive-pk-0703	composite	no	no	-	1/4	composite	Archival prosecution: CS-0703
archive-ir-0704	composite	no	no	-	1/4	composite	Archival prosecution: CS-0704
archive-iq-0705	composite	no	no	-	1/4	composite	Archival prosecution: CS-0705
archive-il-0706	composite	no	no	-	2/5	composite	Archival prosecution: CS-0706
archive-eg-0707	composite	no	no	-	2/6	composite	Archival prosecution: CS-0707
archive-cl-0708	composite	no	no	-	3/7	composite	Archival prosecution: CS-0708
archive-co-0709	composite	no	no	-	1/4	composite	Archival prosecution: CS-0709
archive-pe-0710	composite	no	no	-	2/5	composite	Unsolved matter: CS-0710
archive-bd-0711	composite	no	no	-	1/5	composite	Archival prosecution: CS-0711
archive-lv-0712	composite	no	no	-	1/5	composite	Archival prosecution: CS-0712
archive-sk-0713	composite	no	no	-	1/4	composite	Archival prosecution: CS-0713
archive-rs-0714	composite	no	no	-	1/4	composite	Archival prosecution: CS-0714
archive-bg-0715	composite	no	no	-	2/5	composite	Archival prosecution: CS-0715
archive-tw-0716	composite	no	no	-	2/6	composite	Archival prosecution: CS-0716
archive-uz-0717	composite	no	no	-	3/7	composite	Archival prosecution: CS-0717
archive-sa-0718	composite	no	no	-	1/4	composite	Archival prosecution: CS-0718
archive-et-0719	composite	no	no	-	2/5	composite	Archival prosecution: CS-0719
archive-us-0720	composite	no	no	-	1/4	composite	Unsolved matter: CS-0720
archive-us-0721	composite	no	no	-	1/5	composite	Archival prosecution: CS-0721
archive-us-0722	composite	no	no	-	1/5	composite	Archival prosecution: CS-0722
archive-us-0723	composite	no	no	-	1/4	composite	Archival prosecution: CS-0723
archive-us-0724	composite	no	no	-	2/5	composite	Archival prosecution: CS-0724
archive-gb-0725	composite	no	no	-	2/6	composite	Archival prosecution: CS-0725
archive-gb-0726	composite	no	no	-	3/7	composite	Archival prosecution: CS-0726
archive-gb-0727	composite	no	no	-	1/4	composite	Archival prosecution: CS-0727
archive-ca-0728	composite	no	no	-	2/5	composite	Archival prosecution: CS-0728
archive-ca-0729	composite	no	no	-	1/4	composite	Archival prosecution: CS-0729
archive-au-0730	composite	no	no	-	1/4	composite	Unsolved matter: CS-0730
archive-au-0731	composite	no	no	-	1/5	composite	Archival prosecution: CS-0731
archive-de-0732	composite	no	no	-	1/5	composite	Archival prosecution: CS-0732
archive-de-0733	composite	no	no	-	2/5	composite	Archival prosecution: CS-0733
archive-fr-0734	composite	no	no	-	2/6	composite	Archival prosecution: CS-0734
archive-fr-0735	composite	no	no	-	3/7	composite	Archival prosecution: CS-0735
archive-it-0736	composite	no	no	-	1/4	composite	Archival prosecution: CS-0736
archive-it-0737	composite	no	no	-	2/5	composite	Archival prosecution: CS-0737
archive-es-0738	composite	no	no	-	1/4	composite	Archival prosecution: CS-0738
archive-es-0739	composite	no	no	-	1/4	composite	Archival prosecution: CS-0739
archive-nl-0740	composite	no	no	-	1/4	composite	Unsolved matter: CS-0740
archive-be-0741	composite	no	no	-	1/5	composite	Archival prosecution: CS-0741
archive-se-0742	composite	no	no	-	2/6	composite	Archival prosecution: CS-0742
archive-no-0743	composite	no	no	-	2/6	composite	Archival prosecution: CS-0743
archive-pl-0744	composite	no	no	-	3/7	composite	Archival prosecution: CS-0744
archive-pl-0745	composite	no	no	-	1/4	composite	Archival prosecution: CS-0745
archive-ru-0746	composite	no	no	-	2/5	composite	Archival prosecution: CS-0746
archive-ru-0747	composite	no	no	-	1/4	composite	Archival prosecution: CS-0747
archive-ua-0748	composite	no	no	-	1/4	composite	Archival prosecution: CS-0748
archive-ua-0749	composite	no	no	-	1/4	composite	Archival prosecution: CS-0749
archive-jp-0750	composite	no	no	-	1/4	composite	Unsolved matter: CS-0750
archive-jp-0751	composite	no	no	-	2/6	composite	Archival prosecution: CS-0751
archive-cn-0752	composite	no	no	-	2/7	composite	Archival prosecution: CS-0752
archive-cn-0753	composite	no	no	-	3/7	composite	Archival prosecution: CS-0753
archive-in-0754	composite	no	no	-	1/4	composite	Archival prosecution: CS-0754
archive-in-0755	composite	no	no	-	2/5	composite	Archival prosecution: CS-0755
archive-br-0756	composite	no	no	-	1/4	composite	Archival prosecution: CS-0756
archive-br-0757	composite	no	no	-	1/4	composite	Archival prosecution: CS-0757
archive-mx-0758	composite	no	no	-	1/4	composite	Archival prosecution: CS-0758
archive-mx-0759	composite	no	no	-	1/4	composite	Archival prosecution: CS-0759
archive-ar-0760	composite	no	no	-	2/5	composite	Unsolved matter: CS-0760
archive-za-0761	composite	no	no	-	2/7	composite	Archival prosecution: CS-0761
archive-ng-0762	composite	no	no	-	3/8	composite	Archival prosecution: CS-0762
archive-ke-0763	composite	no	no	-	1/4	composite	Archival prosecution: CS-0763
archive-tr-0764	composite	no	no	-	2/5	composite	Archival prosecution: CS-0764
archive-gr-0765	composite	no	no	-	1/4	composite	Archival prosecution: CS-0765
archive-ro-0766	composite	no	no	-	1/4	composite	Archival prosecution: CS-0766
archive-cz-0767	composite	no	no	-	1/4	composite	Archival prosecution: CS-0767
archive-hu-0768	composite	no	no	-	1/4	composite	Archival prosecution: CS-0768
archive-at-0769	composite	no	no	-	2/5	composite	Archival prosecution: CS-0769
archive-ch-0770	composite	no	no	-	2/6	composite	Unsolved matter: CS-0770
archive-pt-0771	composite	no	no	-	3/8	composite	Archival prosecution: CS-0771
archive-ie-0772	composite	no	no	-	1/5	composite	Archival prosecution: CS-0772
archive-fi-0773	composite	no	no	-	2/5	composite	Archival prosecution: CS-0773
archive-dk-0774	composite	no	no	-	1/4	composite	Archival prosecution: CS-0774
archive-nz-0775	composite	no	no	-	1/4	composite	Archival prosecution: CS-0775
archive-kr-0776	composite	no	no	-	1/4	composite	Archival prosecution: CS-0776
archive-th-0777	composite	no	no	-	1/4	composite	Archival prosecution: CS-0777
archive-vn-0778	composite	no	no	-	2/5	composite	Archival prosecution: CS-0778
archive-ph-0779	composite	no	no	-	2/6	composite	Archival prosecution: CS-0779
archive-id-0780	composite	no	no	-	3/7	composite	Unsolved matter: CS-0780
archive-my-0781	composite	no	no	-	1/5	composite	Archival prosecution: CS-0781
archive-sg-0782	composite	no	no	-	2/6	composite	Archival prosecution: CS-0782
archive-pk-0783	composite	no	no	-	1/4	composite	Archival prosecution: CS-0783
archive-ir-0784	composite	no	no	-	1/4	composite	Archival prosecution: CS-0784
archive-iq-0785	composite	no	no	-	1/4	composite	Archival prosecution: CS-0785
archive-il-0786	composite	no	no	-	1/4	composite	Archival prosecution: CS-0786
archive-eg-0787	composite	no	no	-	2/5	composite	Archival prosecution: CS-0787
archive-cl-0788	composite	no	no	-	2/6	composite	Archival prosecution: CS-0788
archive-co-0789	composite	no	no	-	3/7	composite	Archival prosecution: CS-0789
archive-pe-0790	composite	no	no	-	1/4	composite	Unsolved matter: CS-0790
archive-bd-0791	composite	no	no	-	2/6	composite	Archival prosecution: CS-0791
archive-lv-0792	composite	no	no	-	1/5	composite	Archival prosecution: CS-0792
archive-sk-0793	composite	no	no	-	1/4	composite	Archival prosecution: CS-0793
archive-rs-0794	composite	no	no	-	1/4	composite	Archival prosecution: CS-0794
archive-bg-0795	composite	no	no	-	1/4	composite	Archival prosecution: CS-0795
archive-tw-0796	composite	no	no	-	2/5	composite	Archival prosecution: CS-0796
archive-uz-0797	composite	no	no	-	2/6	composite	Archival prosecution: CS-0797
archive-sa-0798	composite	no	no	-	3/7	composite	Archival prosecution: CS-0798
archive-et-0799	composite	no	no	-	1/4	composite	Archival prosecution: CS-0799
archive-us-0800	composite	no	no	-	2/5	composite	Unsolved matter: CS-0800
archive-us-0801	composite	no	no	-	1/5	composite	Archival prosecution: CS-0801
archive-us-0802	composite	no	no	-	1/5	composite	Archival prosecution: CS-0802
archive-us-0803	composite	no	no	-	1/4	composite	Archival prosecution: CS-0803
archive-us-0804	composite	no	no	-	1/4	composite	Archival prosecution: CS-0804
archive-gb-0805	composite	no	no	-	2/5	composite	Archival prosecution: CS-0805
archive-gb-0806	composite	no	no	-	2/6	composite	Archival prosecution: CS-0806
archive-gb-0807	composite	no	no	-	3/7	composite	Archival prosecution: CS-0807
archive-ca-0808	composite	no	no	-	1/4	composite	Archival prosecution: CS-0808
archive-ca-0809	composite	no	no	-	2/5	composite	Archival prosecution: CS-0809
archive-au-0810	composite	no	no	-	1/4	composite	Unsolved matter: CS-0810
archive-au-0811	composite	no	no	-	1/5	composite	Archival prosecution: CS-0811
archive-de-0812	composite	no	no	-	1/5	composite	Archival prosecution: CS-0812
archive-de-0813	composite	no	no	-	1/4	composite	Archival prosecution: CS-0813
archive-fr-0814	composite	no	no	-	2/5	composite	Archival prosecution: CS-0814
archive-fr-0815	composite	no	no	-	2/6	composite	Archival prosecution: CS-0815
archive-it-0816	composite	no	no	-	3/7	composite	Archival prosecution: CS-0816
archive-it-0817	composite	no	no	-	1/4	composite	Archival prosecution: CS-0817
archive-es-0818	composite	no	no	-	2/5	composite	Archival prosecution: CS-0818
archive-es-0819	composite	no	no	-	1/4	composite	Archival prosecution: CS-0819
archive-nl-0820	composite	no	no	-	1/4	composite	Unsolved matter: CS-0820
archive-be-0821	composite	no	no	-	1/5	composite	Archival prosecution: CS-0821
archive-se-0822	composite	no	no	-	1/5	composite	Archival prosecution: CS-0822
archive-no-0823	composite	no	no	-	2/5	composite	Archival prosecution: CS-0823
archive-pl-0824	composite	no	no	-	2/6	composite	Archival prosecution: CS-0824
archive-pl-0825	composite	no	no	-	3/7	composite	Archival prosecution: CS-0825
archive-ru-0826	composite	no	no	-	1/4	composite	Archival prosecution: CS-0826
archive-ru-0827	composite	no	no	-	2/5	composite	Archival prosecution: CS-0827
archive-ua-0828	composite	no	no	-	1/4	composite	Archival prosecution: CS-0828
archive-ua-0829	composite	no	no	-	1/4	composite	Archival prosecution: CS-0829
archive-jp-0830	composite	no	no	-	1/4	composite	Unsolved matter: CS-0830
archive-jp-0831	composite	no	no	-	1/5	composite	Archival prosecution: CS-0831
archive-cn-0832	composite	no	no	-	2/6	composite	Archival prosecution: CS-0832
archive-cn-0833	composite	no	no	-	2/6	composite	Archival prosecution: CS-0833
archive-in-0834	composite	no	no	-	3/7	composite	Archival prosecution: CS-0834
archive-in-0835	composite	no	no	-	1/4	composite	Archival prosecution: CS-0835
archive-br-0836	composite	no	no	-	2/5	composite	Archival prosecution: CS-0836
archive-br-0837	composite	no	no	-	1/4	composite	Archival prosecution: CS-0837
archive-mx-0838	composite	no	no	-	1/4	composite	Archival prosecution: CS-0838
archive-mx-0839	composite	no	no	-	1/4	composite	Archival prosecution: CS-0839
archive-ar-0840	composite	no	no	-	1/4	composite	Unsolved matter: CS-0840
archive-za-0841	composite	no	no	-	2/6	composite	Archival prosecution: CS-0841
archive-ng-0842	composite	no	no	-	2/7	composite	Archival prosecution: CS-0842
archive-ke-0843	composite	no	no	-	3/7	composite	Archival prosecution: CS-0843
archive-tr-0844	composite	no	no	-	1/4	composite	Archival prosecution: CS-0844
archive-gr-0845	composite	no	no	-	2/5	composite	Archival prosecution: CS-0845
archive-ro-0846	composite	no	no	-	1/4	composite	Archival prosecution: CS-0846
archive-cz-0847	composite	no	no	-	1/4	composite	Archival prosecution: CS-0847
archive-hu-0848	composite	no	no	-	1/4	composite	Archival prosecution: CS-0848
archive-at-0849	composite	no	no	-	1/4	composite	Archival prosecution: CS-0849
archive-ch-0850	composite	no	no	-	2/5	composite	Unsolved matter: CS-0850
archive-pt-0851	composite	no	no	-	2/7	composite	Archival prosecution: CS-0851
archive-ie-0852	composite	no	no	-	3/8	composite	Archival prosecution: CS-0852
archive-fi-0853	composite	no	no	-	1/4	composite	Archival prosecution: CS-0853
archive-dk-0854	composite	no	no	-	2/5	composite	Archival prosecution: CS-0854
archive-nz-0855	composite	no	no	-	1/4	composite	Archival prosecution: CS-0855
archive-kr-0856	composite	no	no	-	1/4	composite	Archival prosecution: CS-0856
archive-th-0857	composite	no	no	-	1/4	composite	Archival prosecution: CS-0857
archive-vn-0858	composite	no	no	-	1/4	composite	Archival prosecution: CS-0858
archive-ph-0859	composite	no	no	-	2/5	composite	Archival prosecution: CS-0859
archive-id-0860	composite	no	no	-	2/6	composite	Unsolved matter: CS-0860
archive-my-0861	composite	no	no	-	3/8	composite	Archival prosecution: CS-0861
archive-sg-0862	composite	no	no	-	1/5	composite	Archival prosecution: CS-0862
archive-pk-0863	composite	no	no	-	2/5	composite	Archival prosecution: CS-0863
archive-ir-0864	composite	no	no	-	1/4	composite	Archival prosecution: CS-0864
archive-iq-0865	composite	no	no	-	1/4	composite	Archival prosecution: CS-0865
archive-il-0866	composite	no	no	-	1/4	composite	Archival prosecution: CS-0866
archive-eg-0867	composite	no	no	-	1/4	composite	Archival prosecution: CS-0867
archive-cl-0868	composite	no	no	-	2/5	composite	Archival prosecution: CS-0868
archive-co-0869	composite	no	no	-	2/6	composite	Archival prosecution: CS-0869
archive-pe-0870	composite	no	no	-	3/7	composite	Unsolved matter: CS-0870
archive-bd-0871	composite	no	no	-	1/5	composite	Archival prosecution: CS-0871
archive-lv-0872	composite	no	no	-	2/6	composite	Archival prosecution: CS-0872
archive-sk-0873	composite	no	no	-	1/4	composite	Archival prosecution: CS-0873
archive-rs-0874	composite	no	no	-	1/4	composite	Archival prosecution: CS-0874
archive-bg-0875	composite	no	no	-	1/4	composite	Archival prosecution: CS-0875
archive-tw-0876	composite	no	no	-	1/4	composite	Archival prosecution: CS-0876
archive-uz-0877	composite	no	no	-	2/5	composite	Archival prosecution: CS-0877
archive-sa-0878	composite	no	no	-	2/6	composite	Archival prosecution: CS-0878
archive-et-0879	composite	no	no	-	3/7	composite	Archival prosecution: CS-0879
alexander-pichushkin	verified	yes	yes	-	4/8	curated	Alexander Pichushkin
gao-chengyong	verified	yes	yes	-	4/8	curated	Gao Chengyong
niels-hoegel	verified	yes	yes	-	5/9	curated	Niels Högel
henri-landru	verified	yes	yes	-	4/9	curated	Henri Désiré Landru
auto-shankar	verified	yes	yes	-	4/8	curated	Auto Shankar
karol-kot	verified	yes	yes	override	2/2	curated	Karol Kot
john-ausonius	verified	yes	yes	-	4/8	curated	John Ausonius
akira-nishiguchi	verified	yes	yes	-	4/9	curated	Akira Nishiguchi
donato-bilancia	verified	yes	yes	-	4/8	curated	Donato Bilancia
alcasser-girls	verified	yes	yes	-	2/5	curated	Alcàsser case
anatoly-onoprienko	verified	yes	yes	-	4/8	curated	Anatoly Onoprienko
mikhail-popkov	verified	yes	yes	-	4/8	curated	Mikhail Popkov
ahmad-suradji	verified	yes	yes	-	4/8	curated	Ahmad Suradji
tiago-henrique-rocha	verified	yes	yes	-	4/8	curated	Tiago Henrique Gomes da Rocha
armin-meiwes	verified	yes	yes	-	2/5	curated	Armin Meiwes
pedro-lopez-colombia	verified	yes	yes	-	4/8	curated	Pedro López (Andes)
javed-iqbal-urdu	verified	yes	yes	-	4/8	curated	Javed Iqbal (Lahore)
kaspars-petrovs	verified	yes	yes	-	4/8	curated	Kaspars Petrovs
umesh-reddy	verified	yes	yes	-	4/8	curated	Umesh Reddy
mamoru-takuma	verified	yes	yes	-	3/7	curated	Mamoru Takuma
richard-klinkhamer	verified	yes	yes	-	2/5	curated	Richard Klinkhamer
louay-al-taei	verified	yes	yes	override	4/4	curated	Louay Omar Mohammed al-Taei
kang-ho-sun	verified	yes	yes	-	4/8	curated	Kang Ho-sun
somkid-pumpuang	verified	yes	yes	override	2/2	curated	Somkid Pumpuang
juha-valjakkala	verified	yes	yes	-	3/7	curated	Juha Valjakkala
arnfinn-nesset	verified	yes	yes	-	5/9	curated	Arnfinn Nesset
andras-pandy	verified	yes	yes	override	2/2	curated	András Pándy
romulus-veres	verified	yes	yes	override	2/2	curated	Romulus Vereș
ozgur-dengiz	verified	yes	yes	-	4/8	curated	Özgür Dengiz
juraj-krajcik	verified	yes	yes	-	4/8	curated	Juraj Krajčík
vlado-taneski	verified	yes	yes	-	4/8	curated	Vlado Taneski
petr-zelenka	verified	yes	yes	-	5/9	curated	Petr Zelenka
ershad-sikder	verified	yes	yes	-	4/8	curated	Ershad Sikder
saeed-hanaei-esfahan	verified	yes	yes	-	4/8	curated	Saeed Hanaei
le-van-luyen	verified	yes	yes	override	2/2	curated	Lê Văn Luyện
antonis-daglis	verified	yes	yes	override	2/2	curated	Antonis Daglis
yishai-schlissel-he	verified	yes	yes	-	4/8	curated	Yishai Schlissel
josef-fritzl	verified	yes	yes	override	3/3	curated	Josef Fritzl
contemporary-draft-example	draft	no	no	-	0/0	curated	Contemporary draft stub
